,Smiles,S_Hit
64817,CCC(O)c1ccc(Br)cc1NC(=O)c2cccc(Cl)c2,Yes
64818,Oc1ccc(Cl)cc1C(=O)Nc2cccc(c2)C(F)(F)F,Yes
64819,COc1cc(cc(OC)c1O)c2nc(c3ccc(Sc4ccccc4)cc3)c([nH]2)c5ccccc5,Yes
64820,COc1cc(cc(OC)c1O)c2nc(c3ccccc3)c([nH]2)c4ccccc4,Yes
64822,Cc1ccc2cc3c(N)c4c(C)ccc(C)c4nc3nc2c1,Yes
64830,CC(C)(C)C(=O)Nc1ccc(cc1)C(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3,Yes
64832,Clc1ccc(cc1)C(=O)Nc2ccc(cc2)c3nc4cc(NC(=O)c5ccc(Cl)cc5)ccc4[nH]3,Yes
64835,CN(C)CCCNc1c2ccccc2nc3ccccc13,Yes
64836,CC(C)CCNCC(O)Cn1c2ccccc2c3ccccc13,Yes
64837,OC(CNC1CCCCC1)Cn2c3ccccc3c4ccccc24,Yes
64838,OC(CNC1CCCC1)Cn2c3ccccc3c4ccccc24,Yes
64839,OC(CNCc1ccccc1)Cn2c3ccccc3c4ccccc24,Yes
64840,n(CC(CNCCOC)O)(c1c2cc(Cl)cc1)c3c2cc(Cl)cc3,Yes
64841,c1(c(ccn2)NCCN(CC)CC)c2cc(cccc3)c3c1,Yes
64844,OC(CNC1CCCCC1)Cn2c3ccc(I)cc3c4cc(I)ccc24,Yes
64845,n(CC(CNCC1CCCO1)O)(c2c3cc(Cl)cc2)c4c3cc(Cl)cc4,Yes
64846,CC1CCCCC1NCC(O)Cn2c(C)c(C)c3ccccc23,Yes
64848,CCOc1ccc(Nc2c3ccccc3nc4ccccc24)cc1,Yes
64849,CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2,Yes
64853,CCOc1ccc2nc(C)cc(Nc3ccc(Br)cc3)c2c1,Yes
64855,CCOc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1,Yes
64860,CCCCOC(=O)c1ccc(Nc2cc(C)nc3ccc(OC)cc23)cc1,Yes
64861,C1CN(CCO1)c2ccc(Nc3ccnc4cc5ccccc5cc34)cc2,Yes
64862,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1,Yes
