,Smiles,S_Hit
713,Cn1cc(C(=O)N2CCCC(Cc3cccc4ncccc34)C2)cn1,
714,C[C@@H]1CN(C(=O)Nc2cccc(OC(F)F)c2)CC(C(N)=O)O1,
715,CCn1cc(-c2cncn2CCc2ccc3c(c2)OCCO3)cn1,
716,Cc1c(CN2C[C@@H](O)[C@H](Oc3cccc(F)c3)C2)cnn1C,
717,CCc1nc(C)c(C(=O)N2CCNCC2C(=O)NCc2ccncc2)o1,
718,NC(=O)NC(=O)CCN1CCC(C(=O)c2cc(F)ccc2F)CC1,
719,CC(CNC(=O)Nc1ccc(F)cc1Br)N1CCOCC1,
720,COC(=O)c1ccc(N2CCN(C(=O)c3cnn(C)c3)C(C)C2)cc1,
721,CN(C)C(=O)c1nc2c(s1)CCCN2Cc1ccccc1,
722,CN(C)[C@@H]1CCN(C(=O)c2ccccn2)[C@H]1Cc1cnn(C)c1,
723,CCN(Cc1ccncc1)C(=O)c1cn(CCC2CCCCC2)nn1,
724,C[C@@H]1CN(Cc2ccsc2)C[C@]12CCN(Cc1cccnc1)C2=O,
725,COc1ccc(F)cc1C(=O)N(C)Cc1cc(C)on1,
726,Cc1ccc(NC(=O)CNC(C)Cc2ccsc2)cc1F,
727,Cc1ccccc1C(=O)N1C[C@@H]2CCN(c3cccnc3)C[C@@H]2C1,
728,CNC(=O)CN1CCC2(CCCN(CC3CCOC3)C2)CC1,
729,Nc1c(Cl)cnn1C1CCN(Cc2ccccc2)C1,
730,Cc1ccc(C(C)NC(=O)Cc2c(C)nc3c(c2C)c(=O)[nH]n3C)o1,
731,Cc1ncc(CNc2cnccc2CO)s1,
732,CC(Cn1cccn1)NC(=O)Nc1nncs1,
733,Cn1cc(CN2C[C@H](Oc3ncccc3F)[C@H]3OCCC[C@H]32)cn1,
734,O=C(N[C@]12CC1CN(C(=O)c1ccco1)C2)c1ccoc1,
735,COCCO[C@H]1COCCN(Cc2ccc(OC)cc2)C1,
736,CCN(CC1CCOC1)C(=O)c1ccn(-c2ccc(OC)cc2)n1,
737,O=c1[nH]c(NCc2cccc(OC(F)F)c2)nc2c1CCNC2,
738,Cc1cc(N2Cc3cnn(CCO)c3C2)nc(-c2ccccc2)n1,
739,O=C(CCN1CCCC1C1CCCCC1)N1CCc2sccc2C1,
740,COc1cccc(N2CC3(CCN(Cc4nccn4C)C3)CC2=O)c1,
741,CCc1ncncc1C(=O)N1CCCN(Cc2ccc(C)cc2)CC1,
742,OC1(CN2CCCC(Cn3cncn3)C2)CCCCC1,
743,Oc1cc(CC2COCCN(CC3(O)CCOCC3)C2)ncn1,
744,Cc1cnc2c(c1NCc1ccccn1)c(=O)n(C)c(=O)n2C,
745,O=C1CC(C(=O)O)C2(CCN(C(=O)NCc3ccc(Cl)cc3)CC2)N1,
746,CC(C)CN1C[C@H]2CCN(C(=O)C3CCCO3)CC[C@H]2S1(=O)=O,
747,O=S1(=O)CCN(CCCc2ccc(Cl)cc2)CC1,
748,COc1c(C)cnc(CN(C)C2CCCCC2)c1C,
749,O=S(=O)(C1CC1)N1CCn2c(Cn3cccn3)cnc2C1,
750,Nc1cc(-c2c[nH]nc2C2CCN(C(=O)C3CCCC3)C2)ccn1,
751,O=C(c1cnc(OCC(F)(F)F)c(Cl)c1)N1CCc2ccc(O)cc2C1,
752,N#Cc1ccccc1NC(=O)C1CN(C(=O)c2ccc3c(c2)OCO3)C1,
753,Cc1nn(-c2ccccc2)cc1C(=O)N1CCCC(n2ccnc2C)C1,
754,CSCC(C)(O)CNC(=O)c1ccc(F)cc1Cl,
755,CCC(O)CN1CCN(C(=O)C2(c3ccc(C)c(OC)c3)CC2)CC1,
756,CCSc1nc(N)c(NC(=O)c2ccc(C)cc2)c(=O)[nH]1,
757,CCc1nc(C)c(CNC(=O)CCCN2CCCCC2)s1,
758,CCn1cncc1CNc1ccc(-c2nc(CC(C)C)no2)cn1,
759,CCOc1ncccc1CNC(=O)Nc1ccc(CC)cc1,
760,Cn1nc2c(cc1=O)CN(Cc1nc(-c3ccccn3)no1)CC2,
761,CCc1ncc(C(=O)N2CC[C@H]3CC[C@@H](C2)N3C)cn1,
762,O=C(CCc1nc(Cl)n[nH]1)N1C[C@H](CO)[C@H](CN2CCCCCC2)C1,
763,O=C(NC1CC1)[C@H]1C[C@H]2OCC[C@H]2N(Cc2cccnc2)C1,
764,Cc1cc(N2CCCN(C(=O)Cc3ccc(O)c(Cl)c3)CC2)ccn1,
765,N#Cc1cccnc1NCc1cccnc1N1CCCCC1,
766,O=C(c1ccsc1)N1C[C@@H]2CCN(c3cccnc3)C[C@@H]2C1,
767,OCC1(CC2CCCCO2)CCN(c2cnc3ccccc3n2)CC1,
768,CCOC(=O)c1ccc(NC(=O)c2c(O)nc3c(c2O)CCCC3)cc1,
769,c1ccc(CN2CCN3C[C@H](Oc4cccnc4)C[C@H]3C2)nc1,
770,COC(=O)c1ccc(S(=O)(=O)NCc2cccnc2N(C)C)cc1,
771,CS(=O)(=O)N1CCC2(CC1)COC(COc1cccnc1)C2,
772,CSCc1cccc(S(=O)(=O)NCCCO)c1,
773,CCN(C)c1ccc(CNS(=O)(=O)C2CCOCC2)cc1F,
774,CN(CC(N)=O)C(=O)c1cn(-c2ccc(Br)cc2)cn1,
775,Cc1ccc2oc(=O)n(CCC(=O)N3CCC4(CN(C)C(=O)O4)C3)c2c1,
776,CC(c1ccco1)N(C(=O)COc1ccc(C#N)cc1)C1CC1,
777,CCc1ccc(CN2CCC3(CC2)C(=O)N(C)CCN3CC)cc1,
778,Cc1nc(C)c(CN2CCOC(CNc3cccnn3)C2)s1,
779,CN(Cc1cccnc1N)Cc1cccc2ncccc12,
780,CCc1ncc(C(=O)NCC2CCN(Cc3ccncc3)CC2)cn1,
781,Cc1nc(C(=O)N2CCCC2c2noc(C)n2)c[nH]1,
782,COc1ccc2c(c1)c(C(=O)Nc1cc(C)n(C)n1)cn2C(C)C,
783,CN(Cc1ccc(F)cc1)CC1(O)CCN(C(=O)c2cccn2C)C1,
784,O=C(c1c(F)cccc1F)N1CCOCC1,
785,CC(C)Cc1nc(CN2CCN(CC(O)c3ccccc3)CC2)no1,
786,CC(C)c1nc(CCNC(=O)NCc2ccnc(N(C)C)c2)cs1,
787,O=C(NCC(O)c1cccc(F)c1)C1CCN(C2CCCCC2)CC1,
788,Cc1cc(C2CCCN(Cc3noc(Cc4ccccc4)n3)C2)n[nH]1,
789,CC(C)c1noc(CN(Cc2ccccc2)C2CC2)n1,
790,O=C(CC1COCCN1)NCCc1nc(-c2ccccn2)no1,
791,Cc1nc(CSCCC(=O)NCc2cccnc2N(C)C)cs1,
792,CCCc1cc(CN(C)C2CC(C)(C)NC(C)(C)C2)n[nH]1,
793,Cc1nc(CNC2CCc3ncnn3C2)oc1C,
794,CCn1nccc1CNC(=O)C1CCCC1,
795,FC(F)(F)c1[nH]nc2c1CN(Cc1ccccc1)CC2,
796,CCN(Cc1c(F)cccc1F)Cn1nc(C)c2c(C)onc2c1=O,
797,Cc1nc(-c2ccccc2F)sc1C(=O)N1CCC(=O)CC1,
798,CCCN(CCOC)c1nc(C)nc2sccc12,
799,O=C(c1cccnc1-n1cccn1)N1CCN(CC2CC2)CC1,
800,c1ccc(CN2CCC(NCCc3ccc4c(c3)CCO4)CC2)nc1,
801,COc1cccnc1NC(=O)COc1ccc(F)cc1F,
802,Cn1cnc2c1C(COCC1CC1)CN(C(=O)c1cscn1)C2,
803,CCc1noc(CNc2nc(-c3cccnc3)nc3c2CCNCC3)n1,
804,O=C(CCNC(=O)c1cccc(OC(F)F)c1)Nc1cccnc1,
805,O=C(Cn1ncc2c(c1=O)CCCCC2)Nc1cccc2[nH]ccc12,
806,CCCn1nc(C2CCNCC2)n(Cc2ccccc2)c1=O,
807,CCc1noc(Cn2c(=O)c3c(C(F)(F)F)cc(C)nc3n2C)n1,
808,Cn1c(C(F)(F)F)nn(CCNC(=O)CSCc2ccccc2)c1=O,
809,Cc1ccnc(NCc2cccc(OCCN3CCOCC3)c2)n1,
810,CS(=O)(=O)NC[C@H]1OC[C@@H](NC2CCC(F)(F)CC2)[C@@H]1O,
811,Cc1ccc(CCNC(=O)Nc2cc(C(F)(F)F)c[nH]c2=O)o1,
812,Cc1ccc(C(=O)N2CC(C(N)=O)O[C@H](C)C2)c(C)c1,
813,CCOc1cc(CNCCCn2ccnc2)cc(Cl)c1OC,
814,O=C(Nc1ncc[nH]1)c1cc(-c2cccnc2)n[nH]1,
815,Cc1ccccc1C(=O)NC1CCN(Cc2ncc(C(C)(C)C)o2)CC1,
816,O=C(C1CCCO1)N1CCc2ncnc(NC3CCC3)c2CC1,
817,Cc1nc2ccnn2c(C)c1CCC(=O)N1CCN(C2CC2)CC1,
818,O=C(O)CSc1nc(-c2ccc3c(c2)CCC3)n[nH]1,
819,CCc1nc(C2CCCN(c3ncc(Br)cn3)C2)no1,
820,O=C(CCCOc1cccc(F)c1)N1CCCC(n2cncn2)C1,
821,CN(C)C(=O)CCCn1ccc(NCc2ccc(C#N)cc2)n1,
822,Cc1cc(CN(C)C(=O)c2ccc(F)cc2F)no1,
823,Cc1cccc(C(=O)N2CCCn3cnc(CN4CCCC4=O)c3C2)n1,
824,CNc1nccnc1C1CN(C(=O)c2cc[nH]n2)CCO1,
825,Cc1ccc(CN2C[C@@H]3[C@@H](COC[C@@H]3NS(C)(=O)=O)C2)o1,
826,CCOc1ncccc1C(=O)N1CCCC1Cn1nc(C)cc1C,
827,Cc1nn(C)c2nc3c(c(C(=O)/N=c4\[nH]nc(C(C)C)s4)c12)CCC3,
828,CN(CC1(O)CCCCC1)C1CCCN(Cc2noc(C3CC3)n2)C1,
829,CNC(=O)[C@H]1C[C@@H]2CN(C(=O)c3occc3C)C[C@@H]2N1S(C)(=O)=O,
830,Cc1n[nH]c(C)c1C1CCCN1C(=O)NC(C)(C)C,
831,CCn1c(C)cc(-c2csc(Cn3ccc(=O)[nH]c3=O)n2)c1C,
832,Cc1ccsc1CNC1CCCN(Cc2noc(C3CC3)n2)C1,
833,Cn1nc(C(=O)NC2CC2)cc1NC(=O)C1CC1,
834,CCCc1nc(CN2CCCCC2Cn2cncn2)cs1,
835,Cc1ccc2c(c1)SCC(=O)N2Cc1noc(C2CCCO2)n1,
836,CCN(C(=O)CN1CCCN(c2nc(C)ns2)CC1)C1CC1,
837,CC(=O)Nc1nc(C2CCN(C(=O)c3cccnc3)CC2)cs1,
838,CCOc1ccc(CC(=O)N2CCCC2c2cc(C)on2)cc1,
839,CN(Cc1ccsc1)C(=O)CNC(=O)N1CCc2ccccc2C1,
840,O=C(C1CC1)N1CCC(O)(CN2CCN(c3ccccc3)CC2)C1,
841,Cc1ccc(C2CN(C(=O)NCc3nnc4ccccn34)CCO2)o1,
842,Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,
843,Cc1ccc(CCNC(=O)Cn2nc(C)n(Cc3ccccc3)c2=O)s1,
844,Cc1nc2c(c(NC3CC3)n1)CCN(C(=O)CCO)CC2,
845,CNC(=O)C1CCN(c2nc3nc[nH]c(=O)c3s2)CC1,
846,CN(Cc1ccco1)[C@@H]1CN(Cc2ccco2)[C@@H]2CCCO[C@H]12,
847,CCc1cc(N2CCC(n3cc(C(=O)NCC(C)C)nn3)CC2)ncn1,
848,CCN(Cc1noc(CC(C)C)n1)Cc1ccccc1C,
849,CS(=O)(=O)c1ncc(CN2CCCC(C(N)=O)C2)n1CC1CCCCC1,
850,Cc1ccc(C(=O)Nc2cnn(CC(=O)NC3CCCC3)c2)c(=O)[nH]1,
851,CC(C)N1CCc2ncn(C)c2C1C(=O)NCCN1CCCC1,
852,Cc1ccccc1C1(C(=O)N2CCCC(n3cncn3)C2)CC1,
853,COCc1nc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2F)cs1,
854,O=C(CC1NC(N2CCc3ccccc3C2)=NC1=O)Nc1ccccc1,
855,CN(Cc1cnccn1)S(=O)(=O)c1ccc(C(F)(F)F)nc1,
856,O=C(c1cccnc1O)N1CCOC(c2ccc(Cl)cc2)C1,
857,COC(=O)CN1Cc2cc3c(cc2NCCC1=O)OCO3,
858,CCc1noc(C)c1C(=O)N1CCCC1c1c(C)nn(C)c1OC,
859,CCS(=O)(=O)NCCNC(=O)c1cnc(-c2ccccc2)nc1,
860,COc1cccc(-n2c(C)cc(C(=O)NCCCC(N)=O)c2C)c1,
861,COc1ccc(-c2cc(C3CCOC3)c(C#N)c(N)n2)cn1,
862,Cc1cc(NC(=O)NCC2(O)CCCC2)ccn1,
863,NCCc1cccc(CN2CCN(c3cccc(Cl)c3)C(=O)C2)c1,
864,Cc1cc(NCC2CCCCC2)n2ncnc2n1,
865,CCC(CO)N(Cc1ccccn1)Cc1ccc(-c2ccn[nH]2)s1,
866,CC(=O)N1CCC2(CCN(CC3CCCCC3)C2)CC1,
867,c1ccc(-n2ccc(CN3CCCCC3Cn3cncn3)n2)cc1,
868,Cc1ccc(-c2ccc(Cl)nn2)cc1S(N)(=O)=O,
869,Cc1nc2cc(C(=O)N(CCC#N)CC3CCCO3)ccc2[nH]1,
870,OCC1(CC2CC2)CCCN(Cc2cnc(N3CCOCC3)nc2)C1,
871,CNC(=O)[C@H]1CC[C@@H]2[C@@H](CCN2c2ncccn2)O1,
872,O=C1[C@H]2CN(C3CCOCC3)C[C@H]2CN1Cc1cccc(F)c1,
873,O=C(Nc1ccccc1CCc1ccccn1)NC1CCOCC1,
874,CCOc1ccc(CN2CC[C@@H]3CC[C@H](C2)N3)cc1CO,
875,O=C(NCc1ccccn1)NC1CCCN(c2ncccn2)C1,
876,NC(=O)c1ccccc1Oc1cccc(C2CCCNC2)n1,
877,CC(=O)NCCCn1ncc2c(C)cccc21,
878,CCOC(=O)C1CCCN(c2nccc(-n3nc(C)cc3C)n2)C1,
879,O=c1cc(Cn2ccnc2)nc2n1CCCN(Cc1ccsc1)C2,
880,Cc1cnn(CC(C)NCC(=O)NCCOc2ccccc2)c1,
881,COc1ccccc1OCCc1cc(C2CCNC2)n[nH]1,
882,CC(CNS(N)(=O)=O)Oc1ccc(Cl)cc1,
883,CN(C)C[C@H]1C[C@@H](CO)CN(C(=O)CCc2nc(Cl)n[nH]2)C1,
884,CCc1nccn1-c1cccc(C2CCCN2)n1,
885,COCCC(=O)N1CCCC(CCC(=O)Nc2ccc(Cl)cc2)C1,
886,CC(C)[C@@H]1CN(S(=O)(=O)c2cccc(C(=O)O)c2)C[C@H]1N(C)C,
887,O=C(NC[C@H]1OC[C@@H](NCc2ccccn2)[C@@H]1O)c1ccncc1,
888,CCC(C)N(Cc1cnc(NC(C)C)nc1)Cc1ccsc1,
889,COc1ccc(C)nc1NC(=O)Cc1c(C)nn(C)c1C,
890,Cc1nc(-c2ccccc2)sc1CSCCS(C)(=O)=O,
891,CN(C)c1ncc(-c2ccc(F)cc2)c(C2CNCCO2)n1,
892,CCn1ncnc1C(NC(=O)CC1CCN(C(C)C)CC1)C1CC1,
893,CC(CCSc1ccccc1)N1CCN(C(=O)c2ccccc2O)CC1,
894,CCN(CC)c1nc(Nc2cccc(C(C)O)c2)nc2ccccc12,
895,Cc1c(C(=O)O)cnn1-c1ccc(-c2nc(C3CC3)no2)cn1,
896,CN(C)CCN(C)C1CCCN(C(=O)c2ccc(Cn3ccnc3)o2)C1,
897,CCS(=O)(=O)NCc1nc(C)cc(N2CCOCC2)n1,
898,CCOc1ccc(Cc2c(O)nc(SC)n(-c3ccccc3)c2=O)cc1,
899,Cc1nn(CC(=O)Nc2ccc(F)cc2)c(N)c1C#N,
900,CCNC(=O)N1CC[C@H]2CC(=O)N(CC(N)=O)CC[C@H]2C1,
901,COc1ccccc1CN1C(=O)O[C@@H]2CN(C(C)C)C[C@@H]21,
902,Cc1noc(C)c1S(=O)(=O)NCC(C)(O)c1ccc2c(c1)OCO2,
903,COC(=O)c1sccc1S(=O)(=O)N1CCc2c(ncnc2N(C)C)C1,
904,COCC(=O)N(Cc1cccc(C)c1)Cc1ccccc1OC,
905,CCS(=O)(=O)N1CCC2(CC1)CCn1c(-c3cnn(C)c3)cnc12,
906,Cc1nc[nH]c1CN1CCN(C(=O)CN2CCCC2)[C@H]2CS(=O)(=O)C[C@H]21,
907,Cc1cc(NCc2ccc(CO)cc2)n2nc(C)cc2n1,
908,Cc1cc(C)cc(CN2CCN(C(=O)C3CCC3)[C@@H]3CS(=O)(=O)C[C@@H]32)c1,
909,Cc1cc(CS(=O)(=O)N(C)C(C)c2ccc(Cl)cc2)on1,
910,COc1ccc(C2CCCN2S(=O)(=O)N(C)C)cc1,
911,Cc1ccc(CNC(c2ccccc2)c2nccn2C)cc1,
912,COCC(=O)N1CCC2(CC1)CN(c1ncccn1)CCO2,
913,CC(C)CC(=O)NCc1cccc(OCCN(C)C2CCOCC2)c1,
914,Cc1ccsc1C(=O)Nc1ccc(N2CCC(O)CC2)c(C#N)c1,
915,O=C(CCCNc1ncccn1)N1CCCC(n2ccnc2)C1,
916,Cc1cnn(CC2CCCCN2C(=O)c2ccc3[nH]cnc3c2)c1,
917,CCn1cc2c(n1)CN(S(=O)(=O)c1cn(C)cn1)CC2COC,
918,CN1CCCN(c2ncnc(N3CCOCC3)c2N)CC1,
919,COc1ccc(C(=O)N2CC(=O)N(Cc3cccs3)CC(O)C2)cc1,
920,NC(=O)c1cc(NC(=O)N2CCCCCC2)ccc1F,
921,CCc1nnc(Nc2cccc(C3CCN(C)CC3)n2)s1,
922,COc1ccnc(N2CCN(C(=O)CN3CCOCC3)CC2)n1,
923,Cc1cc(C)c(CNC(=O)NCC2Cc3ccccc32)c(=O)[nH]1,
924,COCCCn1ccc(NC(=O)NCc2cccc(N(C)C)c2)n1,
925,CC(C)N(C)C(=O)C1=NOC2(CCN(C(=O)c3cccn3C)C2)C1,
926,COc1ccc(CN(C)Cc2nc3c(cnn3C)c(=O)[nH]2)cc1OC,
927,CC1CN(c2ncccc2C(=O)N[C@@H]2CCCc3ccccc32)CCN1,
928,OC(CN1CCC(c2ccn[nH]2)CC1)c1ccc(F)cc1F,
929,Clc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)cc1,
930,CCS(=O)(=O)NCC1CCN(c2cnccn2)CC1,
931,O=C(COCc1ccco1)Nc1cc(C(F)(F)F)c[nH]c1=O,
932,CCN1C[C@@H]2C[C@H](C(=O)Nc3ccccc3)[C@H](C1)O2,
933,CCOc1cc(CN(C)CC(C)(C)O)ccc1OC(F)F,
934,CCn1cc2c(n1)C(COC)CN(C(=O)CCOc1ccccc1)C2,
935,CCNS(=O)(=O)c1ccc(C)c(C(=O)N(CCC#N)Cc2ccco2)c1,
936,CC(C)(C)CC(=O)Nc1ccccc1SCC(N)=O,
937,Cc1ccc(-c2cc(C(=O)NCCCc3csc(N)n3)[nH]n2)s1,
938,CN(C)c1ccc(CNC(=O)Nc2ccc(S(=O)(=O)C(F)F)cc2)cc1,
939,COc1ccc(COCC(O)CNC(=O)c2cccc(OC)c2)cc1,
940,O=C(NC1CCCCC1)c1cc(Br)cnc1N1CCCCC1,
941,CCc1noc(CC)c1CC(=O)N1CCCC(N2CCCCC2)C1,
942,COCC1COCCC12CCN(S(=O)(=O)c1ccccc1C)CC2,
943,C[C@@H](NC(=O)c1ccc(Cl)cc1)c1onc(-c2cccnc2)c1C(=O)O,
944,CCOC(C)c1nc(CN2CCN(c3ncc(C)cn3)CC2)cs1,
945,Cc1cc(CN(C)CCC(O)c2ccccc2)no1,
946,CC1CCN(CCNC(=O)c2scnc2Cl)CC1,
947,CCc1nnc(NC(=O)NCCN(C)C(=O)OC(C)(C)C)s1,
948,Cc1ccc(-c2nnc(CNCCn3cc(C)cn3)o2)cc1,
949,CCc1cc(=O)n(CC(=O)N2CCCCC2)c(-c2cccc(F)c2)n1,
950,N[C@H]1CN(C(=O)c2ccccc2Oc2ccccc2)C[C@@H]1C1CC1,
951,CC(C)CN1CC2(CCN(C(=O)c3nc4ncccn4n3)CC2)CC1=O,
952,Cc1cc(Cl)cc(C)c1CNC1CCN(CC(=O)N(C)C)CC1,
953,COc1ccc(NC(C)C(=O)N2CCCC2)cn1,
954,CC1COc2ccccc2N1C(=O)c1cscn1,
955,CCN1CCCC(C)(C(=O)NCc2nccn2Cc2ccccc2)C1,
956,O=C(c1ccco1)N1CC[C@@H]2O[C@@H](COCCN3CCCC3)CC[C@@H]21,
957,Cn1cncc1C(=O)N1C[C@@H]2CCN(c3cnccn3)C[C@@H]2C1,
958,CCC(C(=O)NC1(C(N)=O)CCCC1)n1cccn1,
959,Cc1cc(C2CCCN(Cc3nc(Cc4ccccc4)no3)C2)n[nH]1,
960,Cc1cnc(N2CCc3c(c(COc4cncnc4)nn3C)C2)nc1,
961,Cc1nnc(NC(=O)CN(C)CC2CCCN2c2cccnn2)s1,
962,Cc1cccc(C(=O)N2CC[C@]3(C[C@H](OCc4ccccn4)CO3)C2)c1,
963,Cc1noc(CCCC(=O)NCC(c2ccco2)N2CCCCC2)n1,
964,CC(=O)N[C@@H]1CN(Cc2ccccc2C#N)C[C@H]1c1ccc(C)cc1,
965,CCc1cnc(CN(C)C2CCN(CC(=O)Nc3nccs3)C2)o1,
966,CC(C(=O)NC1CC1)S(=O)(=O)Cc1nc(Cc2ccccc2)no1,
967,COCc1cc(N(C)CCc2c(C)n[nH]c2C)ncn1,
968,Cc1c(I)cccc1C(=O)NCc1nnc[nH]1,
969,CC(C)N1CC(c2ncc(-c3ccc4c(c3)OCCO4)[nH]2)CC1=O,
970,O=C(Nc1ccc(CN2CCOCC2)cc1)c1nccn2ccnc12,
971,CCc1cnc(N2C[C@@H](NC(=O)c3cscn3)[C@H]3COC[C@H]32)nc1,
972,CS(=O)(=O)NCCNC(=O)NC1(c2ccc(F)cc2)CCCC1,
973,Cc1ccccc1C1CCCN1C(=O)CN1CC2(CCNCC2)OC1=O,
974,Cc1ccc(CN2CCC3(CC2)CC(c2cccnc2)CO3)s1,
975,O=C1CC(c2cccnc2)c2c(c(C(=O)O)cn2-c2cccc(F)c2)N1,
976,Cc1nn(-c2ccccc2)nc1C(=O)NCC(c1ccco1)N(C)C,
977,Cc1ccc(N2CCN(C(=O)CCc3ccc(O)cc3)CC2=O)cc1,
978,Cc1ccc(CN2CCC3(CC2)CCN(C(=O)c2cccn2C)C3)cc1,
979,CN(C)C(=O)c1cccc(CN2CCN(CC(O)C(C)(C)C)CC2)c1,
980,CCCC(=O)N1CCC2(CC1)CC(NC(C)=O)c1ccccc1O2,
981,Cn1nccc1C(=O)N1CCC2(CC1)COC(COc1ccccn1)C2,
982,CC(C)c1noc(CCC(=O)NC(C)c2nnc3n2CCC3)n1,
983,CN1CC2(CCN(Cc3cccnc3)CC2)c2cc(F)ccc21,
984,CS(=O)(=O)NC[C@]1(O)CCN(C(=O)Cc2cccs2)C[C@H]1O,
985,NS(=O)(=O)CC1CCN(c2ncccc2C(F)(F)F)CC1,
986,COc1ccc2c(C)nc(N3C[C@H](C)O[C@H](C)C3)nc2c1,
987,Cn1nc(CNC(=O)c2cccc(C(F)(F)F)c2)c2c1CCOC2,
988,CN1CCCC(N(C)C(=O)c2ccc(NC(=O)c3ccc[nH]3)cc2)C1,
989,CCn1ncc2c(C(F)(F)F)cc(-c3ccn(C)n3)nc21,
990,COCCn1ccnc1C1CCN(c2cccc(C(=O)O)n2)CC1,
991,c1cnc(N2CCc3onc(CN4CCCC4)c3C2)cn1,
992,COc1cc(N2CCC(c3nccn3CCCN(C)C)CC2)nc(N)n1,
993,CCCN(Cc1ccc(C(=O)NCC2COCCO2)c(=O)[nH]1)C1CC1,
994,O=C(COc1ccc2c(c1)CCC2)N1CCCC1c1ccc[nH]1,
995,CC1CCN(c2ccc(C(=O)N3CCCC3c3nncn3C)cn2)CC1,
996,CC(=O)NCc1nnc2n1CCN(c1nc(C)nc3sccc13)CC2,
997,Cc1ccnc(OC[C@]23COC[C@H]2CN(C(=O)Cc2ccsc2)C3)n1,
998,Cn1cc(N2C(=O)CC[C@@H]3[C@H]2CCN3CC2CCOCC2)cn1,
999,Cc1ccc(CN2CCc3ncnc(-c4ccoc4)c3CC2)o1,
1000,CCC(=O)N(CC)CCc1nccs1,
1001,Cc1occc1C(=O)NCC(=O)NCCOc1cccc(Cl)c1,
1002,CC(C)Oc1ccc(CNC(=O)CCN2C(=O)CCC2=O)cc1F,
1003,CN1C(=O)CC(C(=O)O)C12CCN(c1ccc3c(n1)CCCC3)CC2,
1004,O=C(c1ccccc1F)N1CC(c2nc(C3CC3)no2)C1,
1005,N#Cc1c(F)cccc1NCCCOCC1CCOC1,
1006,Cc1ncc(CN2CCCN(Cc3noc(C4CC4)n3)CC2)s1,
1007,O=C(O)CN1CCc2onc(C(c3ccccc3)c3ccccc3)c2C1,
1008,CN(C)CC(=O)N1Cc2cc(N(C)C)ccc2C1c1cnco1,
1009,N#Cc1cccc(N2CCC3(CC2)Nc2ccccc2NC3=O)n1,
1010,CCCC(=O)Nc1cccc([C@H]2C[C@@H](NC(C)=O)CCO2)c1,
1011,CN(Cc1ccco1)[C@@H]1CN(CC2CCOCC2)[C@@H]2CCCO[C@H]12,
1012,Cn1c(NCCN2CCCCCC2)c(C#N)c(=O)n(C)c1=O,
1013,Cc1nc(CN2C(=O)CCC23CCN(Cc2ccccn2)CC3)cs1,
1014,Oc1ccccc1CN1C[C@H](O)C[C@H]1c1nc(Cc2ccccc2)no1,
1015,N#Cc1cccc(CNc2ccc(F)cc2OCCO)c1,
1016,CCc1cc(CN(C)Cc2nc(-c3ccc(OC)cc3F)oc2C)on1,
1017,CN(Cc1nnc2n1CCC2)C(=O)c1ccc2c(c1)OCO2,
1018,Cc1cc2c(C)cc(O)cc2c(=O)o1,
1019,CCOc1ccc(C(=O)NCc2ccnc(N3CCN(C)CC3)c2)cn1,
1020,Cc1ccc(S(C)(=O)=O)cc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,
1021,O=C(NCCn1ccc(-c2ccncc2)n1)C1CC1,
1022,O=C(CCOc1cccc(F)c1)N1CCCC(n2cncn2)C1,
1023,CCN1Cc2cc3c(cc2NCCC1=O)OCO3,
1024,Cc1ncc2c(c1CNC(=O)C1(c3ccc(F)cc3)CC1)CCNC2,
1025,Cn1cc(-c2ncc3c(c2C(=O)O)CCN(CC2CC2)C3)cn1,
1026,Nc1cc2c(nn1)CCN(C(=O)c1ccc(-c3ccco3)[nH]c1=O)C2,
1027,CCc1ncncc1C(=O)NCCNS(=O)(=O)c1ccc(C)cc1,
1028,COc1cc(NC(=O)NC2CCCC2)ccc1N1CCOC1=O,
1029,O=C(Nc1nnc(C2CC2)s1)NC1CCOc2ccccc21,
1030,CC1CCc2nc(O)c(C(=O)NCCCN3CCN(C)CC3)cc2C1,
1031,Fc1ccc(-c2nc(CN3CCOC(Cn4cccn4)C3)co2)cc1,
1032,COc1ccc(NC(C)C(=O)NCCc2cccs2)cc1F,
1033,CCC(=O)NC1CCCN(C(=O)c2ccc(OCC3CC3)nc2)C1,
1034,COc1ccc(-c2noc(CN3CCc4cncnc4C3)n2)cc1,
1035,O=C1CC(c2ccc(O)cc2)c2c(c(C(=O)O)cn2-c2ccccc2)N1,
1036,Cc1cc(C(=O)N2CCCC(n3cncn3)C2)no1,
1037,Cc1occc1C(=O)N1CCC2(CCCN(Cc3nccs3)C2)C1,
1038,Cn1nnc2cc(C(=O)NS(=O)(=O)c3cccc(C#N)c3)ccc21,
1039,c1cncc(CN2CCC(c3csc4nccn34)CC2)c1,
1040,c1coc(CN2C[C@@H]3OCCN(CC4CCCO4)[C@@H]3C2)c1,
1041,Cc1cccc(CN2CCc3nnc(CN4CCCC4=O)n3CC2)n1,
1042,C[C@@H](O)CNc1c(NCc2ccco2)c(=O)c1=O,
