,Smiles,Hit
5008,Cc1c(C(=O)N2CCC(N3CCCCC3)CC2)n(C)c2ccc(Cl)cc12,Yes
5075,O=S(=O)(NC1CCC12CCN(CC1CC1)CC2)c1ccccc1,Yes
5118,OC(COCc1ccc(Cl)cc1)CN1CCC(c2ccn[nH]2)CC1,Yes
5162,Clc1ccccc1C1(c2ccnc(C3CC3)n2)CCNCC1,Yes
5217,Cc1cccc(CNC2CCN(CCc3ccncc3)CC2)c1C,Yes
5226,O=C(N1CCCC1)C1(Cc2ccc(-c3cccs3)cc2)CCNC1,Yes
5390,Oc1ccc(Cl)cc1CNCc1ccccc1Cl,Yes
5391,COc1cccc(Nc2nc(N3CCCC3)nc3c2CNCC3)c1,Yes
5397,Cc1nc2c(c(NCc3cc4ccccc4s3)n1)CCNCC2,Yes
5404,Cc1cc(Cc2ccc(F)cc2)cc(C2CCCNC2)n1,Yes
5561,Cc1ccc([C@]2(O)CC[C@H]3CN(Cc4cc(C)c(O)c(C)c4)C[C@H]32)nc1,Yes
5608,Cc1cc(C(C)NCCN2CCC(N(C)C)CC2)c(C)s1,Yes
5624,CN(C)c1nc2c(c(N(C)Cc3n[nH]c4c3CCCC4)n1)CCNCC2,Yes
5704,O=C(c1ccccc1F)N1CC2(CCNCC2)c2cc(Cl)ccc21,Yes
5873,CCOc1ccc(Br)cc1C1CCCCN1,Yes
5939,CCC(C)N1CCC(Oc2ccc(C(=O)NCCN(C)C)cc2Cl)CC1,Yes
5954,c1ccc(CN2CCC3(CC2)CC(Nc2nccs2)CO3)nc1,Yes
6013,CCc1ccccc1OCCNCCc1c[nH]cn1,Yes
6160,CC(C)[C@@H]1CN(C(=O)C2(c3ccccc3)CCN(C)CC2)C[C@H]1N(C)C,Yes
6596,CCN1CCN(c2ccc(F)cc2C(C)NCc2ccnn2C)CC1,Yes
6789,CO[C@H]1CCN(C2CCOCC2)C[C@@H]1Cc1ccccc1,Yes
6808,O=C(NC1CC1)C1CCN(c2cccc(C(F)(F)F)n2)CC1,Yes
7086,Cc1ccnc(NC(=O)c2[nH]nc(C(C)C)c2Br)c1,Yes
7135,Cc1cc(F)ccc1N1CCC(N2C[C@H](CO)[C@H](CN(C)C)C2)CC1,Yes
7160,CC(C)c1ncc2c(n1)CN(CCCc1nc3ccccc3o1)CC2,Yes
7185,Cc1[nH]c2ccccc2c1-c1ccnc(NCCN2CCOCC2)n1,Yes
7273,Cc1nc[nH]c1CN(C)CC1CCCN(CCc2ccc(Cl)cc2)C1,Yes
7322,Cc1ccc(-c2ccc(C3CNCCO3)nc2)cc1,Yes
7409,Fc1ccccc1C1(CNC2CCOC3(CCOCC3)C2)CCCC1,Yes
7482,CCC(CN1CCCC1)NC(=O)C1(c2cccc(F)c2)CC1,Yes
7561,CCN(CC)CCNS(=O)(=O)c1cccc(CSC)c1,Yes
7580,CCc1ccccc1Nc1noc2c1CN(C(=O)CCOC)CC2,Yes
7720,Fc1ccccc1-c1cccc(C2CCCN(C3CCOCC3)C2)n1,Yes
7721,CS(=O)(=O)c1ccc(-c2cc(O)cc(CCC3CCCCN3)c2)cc1,Yes
7800,Cn1cc(CN2CCCC(CCc3c(F)cccc3F)C2)cn1,Yes
7866,O=C1N(Cc2ccc(F)c(F)c2)CCCC1(O)CNCC1CCCCC1,Yes
7915,O[C@H]1CC(CNCc2ccc(Cl)cc2)(COc2cccnc2)C[C@H]1O,Yes
8156,COc1ccccc1CN1CCC(c2nn(CCN)c3nccnc23)C1,Yes
8168,CC(NCC1CCN(CCO)CC1)c1ccc(OC(F)(F)F)cc1,Yes
8212,COC(=O)NCC(=O)NCC(C)(C)c1cccc(Br)c1,Yes
8269,CCn1ccnc1CN(C)C1CCCN(CCCc2ccccc2)C1,Yes
8343,COc1cccc(CNC(C)c2ccc(-n3ccnc3)cc2)c1O,Yes
8372,Cc1ccccc1CNCc1cc(Cl)ccc1O,Yes
8412,c1cnnc(N2CCCC2CNc2ncnc3sccc23)c1,Yes
8433,COc1cc(CNCC(O)c2ccccc2F)cc2c1OCO2,Yes
8571,Cc1nc2c(c(NC3CCN(Cc4ccccc4)CC3)n1)CCNCC2,Yes
8686,CCc1ccc(CNCC2CCN(CCO)CC2)cc1,Yes
8912,O=C(c1c[nH]cn1)N1CCC(F)(F)C2(CCN(c3cccc(F)c3)C2)C1,Yes
9005,NC(=O)C1(Cc2ccc(-c3ccccc3)cc2)CCNC1,Yes
9054,CN(Cc1cccc(O)c1)CC1CCCN(CCc2ccc(Cl)cc2)C1,Yes
9147,Fc1cccc(Nc2nc(N3CCCC3)nc3c2CNCC3)c1,Yes
9200,Cc1cccnc1[C@H](C)Nc1nc(-c2cccnc2)nc2c1CNC2,Yes
9234,CC(O)CN1CCC(CNCc2ccc(OC(F)(F)F)cc2)CC1,Yes
9264,CCCNc1cc(-c2c[nH]nc2C2CCN(C(=O)C3CCC3)C2)ccn1,Yes
9287,CC(C)N1CCC2(CCCN(c3nccc(C(F)(F)F)n3)C2)CC1,Yes
9338,CC1=N[C@@]2(CC[C@@H]3CN(Cc4ccccc4C)C[C@@H]32)C(=O)N1CC1CC1,Yes
9366,CN(C)c1ccc(CN(CCCn2ccnc2)Cc2c[nH]cn2)cc1,Yes
9406,CN(Cc1cc(Cl)cc2cccnc12)CC1CCN(CCO)CC1,Yes
9447,O=C(CN1CCCC(c2ccn[nH]2)C1)Nc1nncs1,Yes
9480,COc1ccc(NC(=O)Nc2cnc(N3CCN(C)CC3)nc2)cc1Cl,Yes
9546,Cc1ccc2[nH]c([C@H]3CCN(CC4CCCCC4)C3)nc2c1,Yes
9555,Cn1cc(CN2CCCC(CCc3ccc(F)c(F)c3)C2)cn1,Yes
9589,CCCN(C)CC1CCN(c2ccc(Br)c(C)n2)C1,Yes
9636,CCC(CN1CCOCC1)n1cncc1-c1ccc2c(c1)CCN2CC,Yes
9665,COc1ccccc1OCCCN(C)c1cc(C)nc(N)n1,Yes
9743,CN1CCCC(CNS(=O)(=O)N2CCc3ccccc3C2)C1,Yes
9788,CC(C)(C)c1cn2c(n1)C(CNCc1ccccn1)CCC2,Yes
9794,CCc1[nH]c2c(CNc3nc(C)cc(NC)n3)cc(C)cc2c1C,Yes
9847,Fc1ccc(OCCNC2CCN(Cc3ccncc3)CC2)c(F)c1,Yes
9901,CCN1CC(c2ccccc2)CC2(CCN(Cc3ncc[nH]3)CC2)C1,Yes
9916,Cc1cccc(NC(=O)c2cccc(OCc3nnnn3C)c2)n1,Yes
10040,Cc1cccc(C2(NCCCS(C)(=O)=O)CCCC2)c1,Yes
10043,O=C(Nc1nccs1)C1CCCN1Cc1ccccn1,Yes
10084,CCC[C@H]1CN(S(=O)(=O)c2ccc(-c3c(C)noc3C)s2)C[C@@H]1N,Yes
10121,COc1ccc(CNC(=O)C2=NN(c3ccc(C)cc3)C(=O)CN2)cc1,Yes
10127,Cc1cc(C)n(C2CN(CC(O)c3cc(F)ccc3F)C2)n1,Yes
10373,Cc1ccccc1SC1CCN(C(=O)C2[C@H]3CNC[C@@H]23)CC1,Yes
10382,Cc1cccc(C)c1Nc1noc2c1CN(C(=O)c1ccnn1C)CC2,Yes
10430,NC1CCCCN(Cc2cc(-c3ccccc3OC(F)(F)F)no2)C1,Yes
10491,CC(C)N1[C@H](CN2CCCC2)C[C@@H]2CN(Cc3ccoc3)CC[C@@H]21,Yes
10609,O=C(C1CC2(CCNCC2)CN1)N1CCN(c2cccc(Cl)c2Cl)CC1,Yes
10736,Cn1ccnc1C(O)(CCNCc1ccc(Cl)o1)C(F)(F)F,Yes
10779,Cc1c(C(C)N)cnn1-c1cccc2ccccc12,Yes
10791,Cc1ccc2nc(CN(C)Cc3n[nH]c4c3CCCCC4)[nH]c2c1C,Yes
10856,CCOc1ccc(CNCCCn2ccnc2)cc1Cl,Yes
11033,CCCc1nc(N(C)CCN2CCCCCC2)c2cnn(C)c2n1,Yes
11042,CCC(NCc1ccccc1Cl)c1ccccc1OCC(=O)NC,Yes
11090,CC(C)OCCN(C)CC(c1cccs1)N1CCOCC1,Yes
11091,CCOCCN1CCN(CC(O)c2cc(Cl)ccc2Cl)CC1,Yes
11106,COc1ccccc1COCC(O)CN1CC(n2cccn2)C1,Yes
11132,Cc1cc(N2CCC(O)(CN(C)C)C2)c2cc3c(cc2n1)OCO3,Yes
11165,c1ccc(-c2nc3c(c(NCc4n[nH]c5c4CCC5)n2)CCNC3)cc1,Yes
11311,CC(C)C(CNCc1cccc2c1OCO2)N1CCOCC1,Yes
11406,Cc1ccc(CNCc2cccc3cccnc23)c(OC2CCOC2)c1,Yes
11470,Fc1ccc(-c2nccnc2C2CCCNC2)cc1,Yes
11589,CC1CCN(CC(=O)NC2CCN(C(C)c3ccccc3)CC2)CC1,Yes
11728,CS(=O)(=O)NCC1CCCN(Cc2ccccc2F)C1,Yes
11736,Cc1ccc(CN2C[C@@H]3CCCO[C@@H]3[C@H](N(C)Cc3ccco3)C2)s1,Yes
11817,c1ccc(C2CN(C3CC3)CC3(CCN(Cc4cscn4)CC3)C2)cc1,Yes
11821,C[C@@H]1CN(C2CCN(c3ccccc3F)CC2)CC[C@]1(C)O,Yes
11909,COCCN(C)C[C@@H]1CCC[C@@H]2CN(Cc3ccc(OC)nc3)C[C@@H]21,Yes
11931,Cc1nn(C)c(C)c1CCn1cncc1-c1ccc2c(c1)CC(C)N2C,Yes
12093,CC(C)(C)n1cc(C2=CCN(CCN3CCCCCC3)CC2)cn1,Yes
12104,CC(N)Cc1ccccc1Sc1ccc(O)cc1,Yes
12222,COc1ccc(NC(=O)c2ccc(-n3ncc(C#N)c3N)cc2)cn1,Yes
12229,Cc1ccc(CN(CCCn2ccnc2)Cc2c(F)cccc2F)s1,Yes
12414,CS(=O)(=O)CCCNC1(c2cccc(Cl)c2)CCCC1,Yes
12567,NC1CCc2nc(-c3cccnc3)nc(Nc3ccc(F)cc3)c2C1,Yes
12648,CCN1CCCC(CNC(=O)C2(c3cc(C)cc(C)c3)CCC2)C1,Yes
12653,CCOc1ccc2ccccc2c1CNCC1CCNCC1,Yes
12689,c1cncc(-c2ccc3c(c2)CCC32CCNCC2)c1,Yes
12724,O=C(c1ccc(F)c(Cl)c1)N1C[C@H]2CC[C@@H](C1)N(Cc1ccccc1)C2,Yes
12774,COc1ccccc1N1CCC(CNCc2ccc(C#N)cc2)C1,Yes
12844,CNC1CCN(C2CCN(c3ccc(-c4ccco4)cc3)CC2)CC1,Yes
12886,COc1ccc(C(=O)NCCCOC(C)c2ccccc2)c(OC)c1,Yes
12924,COCCCN1CCCN(C(C)C(=O)Nc2cccc(I)c2)CC1,Yes
12975,FC(F)(F)c1ccc2nc([C@H]3CCN(C4CCCCC4)C3)[nH]c2c1,Yes
13005,COc1ccc(CN2C[C@H]3[C@H](N4CCN(C)CC4)COC[C@H]3C2)cc1,Yes
13019,COc1cccc(CN2CCC(CO)(Cc3ccc(Cl)cc3)CC2)c1O,Yes
13038,CN1CC(c2ccccc2)CC2(CCN(Cc3ncc[nH]3)CC2)C1,Yes
13076,CN(C)CCn1nc(C2CCN(Cc3ccccc3)C2)c2cccnc21,Yes
13090,Cc1nc(CN2CCCCC2Cn2cccn2)nc2ccccc12,Yes
13103,CN(C)CCNC(=O)CCn1ncc2c(Cl)cccc21,Yes
13123,CCC1CCCCN1Cc1ncc(C(C)(C)C)o1,Yes
13131,CCn1cc(CN2CCCCC2CCn2ccnc2C)cc1C#N,Yes
13213,COc1ccc(CN2CCNC(=O)CC2)cc1SC(F)(F)F,Yes
13250,COCCN(C)Cc1cc(Cl)ccc1OCC(O)CN1CCCCCC1,Yes
13510,CN(C)[C@@H]1CCN(c2ncccn2)[C@H]1Cc1ccccc1,Yes
13576,Fc1cccc(C(NCc2ncc[nH]2)c2ccccn2)c1,Yes
