,Smiles,Hit
76820,CNCCNCc1ccc(-c2ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)s2)cc1.O=C(O)C(F)(F)F,Yes
76822,NCC1CCCN1Cc1ccc(-c2ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cc2)cc1.O=C(O)C(F)(F)F,Yes
76823,CCN1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3c2CCC3)CC1.O=C(O)C(O)C(O)C(=O)O,Yes
76824,CN1CCCN(Cc2ccc(-c3cccc(NC(=O)c4ccc(Cl)cc4)c3)cc2)CC1.O=C(O)C(F)(F)F,Yes
76825,CC[C@H](C)CNC(=O)c1cncc(-c2ccc(CNCCOc3ccccc3)cc2)c1.O=C(O)C(F)(F)F,Yes
76827,CN(C)CCN(C)Cc1cccc(-c2ccc3c(Nc4ccc(F)cc4Cl)ccnc3c2)c1,Yes
76828,CCc1sc(N2CCN(C)CC2)nc1C(=O)NCCc1ccc(Cl)c(Cl)c1.O=C(O)C(F)(F)F,Yes
76829,NC(=O)COc1cccc2c1CCN(CCN1CCC(NC(=O)c3ccc(-c4ccc(Cl)cc4)cc3)CC1)C2,Yes
76830,CCc1cccc2sc(N3CCN(C(=O)c4ccc([N+](=O)[O-])o4)CC3)nc12,Yes
76833,CCOC(=O)c1ccc2[nH]c(-c3ccc(C(=O)NC4CCN(Cc5ccccc5)CC4)s3)nc2c1,Yes
76834,Cc1noc(C)c1-c1cccc(CNCc2ccc(-c3ccc(-c4nc5cccc(C)c5[nH]4)cc3)cc2)c1.O=C(O)C(F)(F)F,Yes
76840,CC(CCCCC(=O)Nc1ccc(C(F)(F)F)cc1)NCC(O)c1cccc(Cl)c1,Yes
76842,COc1ccc(CCNC(=O)c2cc(C)ccc2O)cc1-c1ccc(C(C)(C)C)cc1,Yes
76846,Brc1ccsc1-c1nc(NCCC(c2ccccc2)c2ccccc2)no1,Yes
76850,CC1(C)N=C(N)N=C(N)C1c1ccc(Cl)c(Cl)c1.Cl,Yes
76855,Cc1cc(N2CCCC2)nc(NC(=N)Nc2cccc(C(F)(F)F)c2)n1,Yes
76856,Cc1cccc2nc(-c3ccc(-c4cccc(NC(=O)Cc5c[nH]cn5)c4)cc3)[nH]c12,Yes
76858,COc1ccc(-c2cnn3ccc(Nc4cc(OC)c(OC)c(OC)c4)nc23)cc1OC,Yes
76860,Br.CC1(C)NC(N)=NC(=N)N1OCc1cccs1,Yes
76863,CCCCCCCN(Cc1ccc(OC(C)(C)C(=O)OCC)cc1)C(=O)Cc1ccc(F)cc1F,Yes
76865,Nc1nccc2ccc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc12.O=C(O)C(F)(F)F,Yes
76872,Cc1cccc2c(C3CCN(CC4CCC(NC(=O)/C=C/c5ccc(Cl)c(Cl)c5)CC4)CC3)c[nH]c12,Yes
76877,COc1ccc2nc3cc(Cl)ccc3c(NCCN(C)C)c2c1,Yes
76878,N#Cc1ccc(N2CCN(Cc3ccc(-c4ccc(-c5nc6ccccc6[nH]5)s4)cc3)CC2)nc1.O=C(O)C(F)(F)F,Yes
76879,Oc1cc(Nc2ccnc3cc(I)ccc23)c(F)cc1Cl,Yes
76880,Cc1ccc(C)c(NC(=O)NCCNc2ccnc(Nc3ccc(F)cc3)n2)c1,Yes
76881,CN(C1CCC(NC(=O)/C=C/c2ccccc2)CC1)C1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2ccccc21,Yes
76882,CCNc1cc(-c2cccc(OC)c2)nc(Nc2ccc(F)cc2)n1,Yes
76885,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N1CCC(CN3CCC(c4c[nH]c5ccccc45)CC3)CC1)O2,Yes
76888,COc1ccc2nccc([C@@H](O)CN3CCC(NCc4cc5c(F)ccc(F)c5[nH]4)CC3)c2c1.O=C(O)C(=O)O,Yes
76889,CC(CN1CCN(C)CC1)C(=O)Nc1ccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,Yes
76890,CN1CCC(Oc2ccc(CN3CC[C@H](NC(=O)c4cc(F)cc(F)c4)C3)c3ccccc23)C1.O=C(O)C(F)(F)F,Yes
76892,CN1CCN(c2ccnc3ccc(NC(=O)Nc4cccc5ccccc45)cc23)CC1,Yes
76895,Fc1ccc2cc(C=Cc3ccncc3)[nH]c2c1,Yes
76897,CCCC(C(=O)OCCNC)(c1ccccc1)c1ccccc1.Cl,Yes
76898,CN1CCCC1CCNCc1cccc(-c2cnc(N3CCCC(C)(C)C3)nc2)c1,Yes
76899,O=C(Nc1cccc(CN2CCN(Cc3cccc(O)c3)CC2)c1)c1cc2ccccc2s1.O=C(O)C(F)(F)F,Yes
76900,COc1ccc(Nc2cc(C)nc(Nc3ccc(NC(C)=O)cc3)n2)cc1,Yes
76903,Cc1ccc(CNC(=O)[C@H](CCCN)Nc2nc(Nc3ccccc3)ncc2C)cc1.O=C(O)C(F)(F)F,Yes
76904,Cc1cccc2nc(-c3ccc(-c4ccc(NC(=O)NCc5cccc(F)c5)cc4)s3)[nH]c12,Yes
76906,Cl.O=C(/C=C/c1ccc(Cl)cc1)Nc1ccc2nc(CN3CCCC3)ccc2c1,Yes
76907,Cc1cc(C2CCCCN2C)ccc1-c1ccc(C(=O)N2CCc3cc4c(cc32)C2(CCN(C)CC2)CO4)cc1.Cl,Yes
76908,O=C(Nc1cc(Cl)cc(Cl)c1)Nc1ccccc1C(=O)NC1CCCCC1,Yes
76916,C=C(NC(=O)C1CCCCC1)C(=O)OC,Yes
76920,Fc1ccc2[nH]c(-c3cccc(-c4cccc(CNCC5CCCO5)c4)c3)nc2c1.O=C(O)C(F)(F)F,Yes
76921,Nc1nc(N)c2cc(Cc3ccccc3Cl)cnc2n1,Yes
76922,CCOc1cc(Br)c(C(C)NC(=O)c2ccccc2)cc1OCC,Yes
76925,CCCCCCCc1c(C)nc2ccccc2c1O,Yes
76926,O=C(Cc1cccc(Cl)c1)Nc1cccc(-c2c[nH]c3nc(Nc4cccc(O)c4)ncc23)c1.O=C(O)C(F)(F)F,Yes
76927,Cc1nc2nc(N)nc(N)c2c(C)c1Cc1ccccc1Br.Cl,Yes
76928,CCOC(=O)c1cn(CC)c2cc(N3CCCCCC3)c(F)cc2c1=O,Yes
76930,COc1ccc(NC(=O)[C@H](Cc2ccccc2)Nc2cc(C)nc(NCCc3cccs3)n2)cc1.O=C(O)C(F)(F)F,Yes
76931,COc1cccc(C2CCN(CCCCNC(=O)c3ccc(NC(=O)c4ccc(Cl)cc4)cc3)CC2)c1,Yes
76933,Cc1cc2ncc(C(N)=O)c(Nc3ccc(N4CCOCC4)cc3)c2cc1S(C)(=O)=O.Cl,Yes
76935,COc1ccccc1NC(=O)c1cc(C(=O)c2cc(Cl)ccc2O)cn(-c2ccccc2OC)c1=O,Yes
76938,COc1ccc(S(=O)(=O)N(c2cc(Br)cc3c2OCC3)S(=O)(=O)c2ccc(OC)c(N3CCN(C)CC3)c2)cc1N1CCN(C)CC1,Yes
76945,CCN(CCCN1CCCCC1)c1cc(C)nc(Nc2ccc(Oc3ccccc3)cc2)n1.O=C(O)C(F)(F)F,Yes
76946,O=C(Nc1cccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)c1)c1cccnc1,Yes
76947,CNC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1cccc(O)c1.O=C(O)C(F)(F)F,Yes
76948,COC(=O)Cn1c2ccccc2c2c(N)c(C(=O)OC)c(C)nc21,Yes
76949,O=C(Nc1ccc(-c2nc3cc4ccccc4cc3[nH]2)cc1)c1cccc(Br)c1,Yes
76951,Cc1cc(=NN=Cc2ccccc2F)c2cc(C(F)(F)F)ccc2[nH]1,Yes
76953,O=C(/C=C/c1cc(C(F)(F)F)ccc1F)N1CCC(CN2CCC(c3c[nH]c4ccccc34)CC2)CC1,Yes
76957,CCN(CC)/C(=N/C(=N)NCc1ccc(Cl)cc1Cl)NCCCCCCN/C(=N\C(=N)NCc1ccc(Cl)cc1Cl)N(CC)CC,Yes
76960,CC(O)C1CCCCN1C(=O)c1cccc(-c2ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cc2)c1,Yes
76963,Brc1ccc(C=NNc2nc3ccccc3[nH]2)cc1,Yes
76965,CNC(=O)C1Cc2c([nH]c3ccc(Br)cc23)C2(CCN(CCc3ccccc3)CC2)N1,Yes
76968,O=C(NC1CCCCC1)c1ccc(O)c(-c2cccc(C(F)(F)F)c2)c1,Yes
76971,Cc1cccc2nc(-c3ccc(-c4cccc(CN5CCC(CCN6CCCCC6)CC5)c4)s3)[nH]c12.O=C(O)C(F)(F)F,Yes
76973,COc1ccc(CNC(=O)c2cnc3c(O)cccc3c2Nc2cccc(NC(=O)c3ccc(Cl)c(Cl)c3)c2)cc1.O=C(O)C(F)(F)F,Yes
76974,Fc1ccc(OC2CN(c3nccc(NCc4ccccc4Cl)n3)C2)cc1,Yes
76978,CC(=O)c1ccc(NC(=O)Nc2ccc(N(C)c3ccnc(Nc4cccc(CS(C)(=O)=O)c4)n3)cc2)cc1,Yes
76980,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc2c(cnn2S(=O)(=O)c2cccs2)c1,Yes
76982,COc1ccc(-c2nc3c(N)nc(N)nc3nc2-c2ccccc2Cl)cc1.COc1ccc(-c2nc3nc(N)nc(N)c3nc2-c2ccccc2Cl)cc1.Cl,Yes
76984,CC(C)C(=O)n1ncc2c3c(N)nc(N)nc3ccc21,Yes
76985,CCCNC(=O)C1CCN(C(c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,Yes
76993,CC1CCN(C(=O)[C@H](Cc2c[nH]c3ccccc23)NS(=O)(=O)c2ccc(Cl)cc2)CC1,Yes
76997,CO/C(=C\C=C\c1cc2cc(Cl)c(Cl)cc2[nH]1)C(=O)NCCCCN1CCN(c2ccccc2OC)CC1,Yes
76999,COc1cc(NC(=O)C(c2ccc(Cl)cc2)C(C)C)cc(OC)c1,Yes
77000,CCCNc1nc(NCc2c(C)cccc2C)nc(NC(C)(C)C)n1,Yes
77002,CC(C)CNCc1ccc(-c2ccccc2CNC2CCN(Cc3ccccc3)CC2)cc1.O=C(O)C(F)(F)F,Yes
77004,Cc1cccc2nc(-c3cccc(-c4cccc(NC(=O)Cc5c[nH]cn5)c4)c3)[nH]c12,Yes
77006,COc1ccc(-c2cc3ncnc(N4CCN(CCN5CCCC5)CC4)c3s2)cc1,Yes
77008,COc1ccc(C2SCC(=O)N2CCc2ccc(OC)c(OC)c2)cc1,Yes
77012,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1cc(-c2ccc(F)cc2)nc2ccc(OC)cc12.Cl,Yes
77014,NC1=NC(c2ccccc2)(c2ccccc2)C(=O)N1C1CCCCC1.O=CO,Yes
77017,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,Yes
77018,CC(=O)Nc1ccc(C(=O)Nc2cccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)s3)c2)cn1,Yes
77021,O=C(CC1SC(N2N=C(c3cccs3)CC2c2ccccc2)=NC1=O)Nc1ccc(Cl)cc1,Yes
77022,C[C@@H](NC(=O)NC(CCN1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12)c1ccc(Cl)c(Cl)c1)c1ccccc1,Yes
77027,CNc1ccc(CNCc2cccc(-c3ccc(-c4nc5cccc(C)c5[nH]4)cc3)c2)cc1.O=C(O)C(F)(F)F,Yes
77028,OC(CNc1ccnc(Nc2ccccc2)n1)c1cccc(C(F)(F)F)c1,Yes
77029,Cl.O=C(C=Cc1ccc(F)cc1)NC1CCC(CCN2CCc3ccc(-c4cnccn4)cc3CC2)CC1,Yes
77035,Cc1ncc(CN2CCC(C(=O)Nc3ccc(-c4nc5ccccc5o4)cc3)CC2)s1,Yes
77039,CC(C)NC(=O)c1cccc(-c2ccc(OCCN3CCCC3c3cc4ccccc4[nH]3)cc2)c1,Yes
77041,O=C(NCCCCCN1CCC(c2c[nH]c3ccccc23)CC1)Nc1ccc(Cl)cc1Cl,Yes
77044,CSC1=NC(=Nc2c(C)cccc2C)C2(CCC(C(C)(C)C)CC2)N1c1ccc(O)cc1.I,Yes
77045,CCNC(=O)NC1CCN(Cc2c(-c3cccs3)nc3ccccc3c2C(=O)N[C@@H](C)C2CCCCC2)CC1,Yes
77046,O=C(/C=C/c1ccc(Cl)c(Cl)c1)NCCCCCN1CCC(CCCNC(=O)Nc2ccc(C(F)(F)F)cc2)CC1,Yes
77050,O=C(NCCc1ccccc1)c1cc(-c2cccnc2)cnc1NCC1CC1,Yes
77053,CCN1CCCC1CN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccccc21.O=C(O)C(O)C(O)C(=O)O,Yes
77054,C#CCNCc1ccc(-c2cccc(-c3nc4cccc(C)c4[nH]3)c2)cc1.O=C(O)C(F)(F)F,Yes
77057,COc1ccc(CNC2CCN(C)CC2)cc1-c1ccc(S(=O)(=O)NC2CCC2)c(C)c1.O=C(O)C(F)(F)F,Yes
77059,COc1ccccc1N1CCN(Cc2cc(C(C)C)c(C)cc2O)CC1,Yes
77060,CCCCNc1ccc(C(=O)NC2CCN(C[C@H](O)c3ccnc4ccc(OC)cc34)CC2)cc1,Yes
77064,O=C(Nc1ccc(OC2CCN(Cc3ccc(F)cc3)C2)c(Cl)c1)c1ccccc1.O=C(O)C(F)(F)F,Yes
77067,CC1(C)N=C(N)N=C(N)N1OCc1ccc2c(c1)OCO2,Yes
77068,O=C(O)C(F)(F)F.c1cc(CN2CCN(CCN3CCOCC3)CC2)cc(-c2cccc(-c3nc4ccccc4[nH]3)c2)c1,Yes
77069,O=C(Nc1cc(=O)[nH]c2nc(-c3ccccc3)nn12)C1CCCCC1,Yes
77070,CCN(CC)CCCN1CCN(C(=O)c2cccc(-c3noc(C(F)(F)F)n3)c2)CC1,Yes
77072,CCCC1(NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(NCC)cc(N3CCCCS3(=O)=O)c2)CC1.Cl,Yes
77076,Cc1c(Cl)ccc2c(C(=O)Nc3ccncc3)cc(-c3cccnc3)nc12,Yes
77080,Cc1ccc(C)c(N2CCN(Cc3ccccc3O)CC2)c1,Yes
77082,CN=C(S)NN=C(C)c1ccccn1,Yes
77083,CNc1cc(-c2ccc3ccnc(N)c3c2)nc(N)n1.O=CO,Yes
77086,CCCOc1cc(OCCC)cc(-c2cc(=O)c3ccccc3[nH]2)c1,Yes
77088,COCCNCc1cccc(-c2ccc(CN(C(=O)NC3CCCCC3)C3CCN(Cc4ccccc4)CC3)cc2)c1.O=C(O)C(F)(F)F,Yes
77089,CN1CCN(c2ccnc3ccc(NC(=O)Nc4cccc5c(-c6ccncc6)cccc45)cc23)CC1,Yes
77091,CCCc1ccc(NC(=O)c2ccc(CN3CCCN(CC4CCCCC4)CC3)cc2)cc1.O=C(O)C(F)(F)F,Yes
77093,COc1ccc(CCc2ccc(-c3c(C)[nH]c(C)c(Cl)c3=O)cc2)cc1,Yes
77094,CN1CCC(OC(=O)c2cc3cc(-c4ccccc4)ccc3n2S(=O)(=O)c2ccccc2)CC1.Cl,Yes
77097,Cc1ccc(NC(=O)c2ccc(CN3CCCN(CCC(C)C)CC3)cc2)cc1F.O=C(O)C(F)(F)F,Yes
77100,CCCSc1nc2c(c(=O)n1Cc1ccco1)C1(CCCCC1)Cc1ccccc1-2,Yes
77101,CCn1cnc2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CCCCC3)cc21,Yes
77102,NC1CCN(CCNCc2cccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cc3)c2)C1.O=C(O)C(F)(F)F,Yes
77104,O=C(CSc1nc2ccccc2c(=O)n1CC1CCCO1)Nc1cc(C(F)(F)F)ccc1Cl,Yes
77106,CCC[C@@H]([C@@H](CC1CCCCC1)C(=O)N[C@H](C(=O)Nc1nccs1)[C@@H](C)OCc1ccccc1)N(O)C=O,Yes
77113,COc1ccc2nccc([C@@H](O)CN3CCC(NC(=O)Cc4ccc(Br)c5ccccc45)CC3)c2c1,Yes
77115,COCCn1c(-c2cccc(Cl)c2)nn(-c2ccc([N+](=O)[O-])cc2Cl)c1=S,Yes
77120,O=C(/C=C/c1ccc(C(F)(F)F)cc1)NCCCCCN1CCCN(C(=O)Nc2cccc(Cl)c2)CC1,Yes
77121,CN(C)c1ccc(CN2CCC(NC(=O)c3ccc(-c4ccc(N(C)C)cc4)s3)CC2)cc1.O=C(O)C(F)(F)F,Yes
77122,CC(O)C1CCCCN1C(=O)c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)s2)cc1,Yes
77125,CCc1ccc(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(Cl)cc4)cc3)CC2)c(O)c1,Yes
77126,CN1CCN(C(=O)CN2CCC3(CCC2=O)NC(=O)c2ccccc2O3)CC1,Yes
77134,Cl.Oc1ccc(CCNc2nc(NCCCOc3ccccc3-c3ccc(C(F)(F)F)cc3)nc(N3CCNCC3)n2)cc1,Yes
77137,CCS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4ccc(N)cc4)c3c2)cc1,Yes
77141,CCOc1ccccc1C=CC(=O)Nc1ccc2nc(N3CCN(C)CC3)cc(C)c2c1,Yes
77145,Cc1cc2nc(-c3ccc(/C=C/C(=O)NCCCc4ccccc4)cc3)[nH]c2cc1C,Yes
77146,O=c1cc(NCCCNCc2cccc(Oc3ccccc3)c2)[nH]c2ccccc12,Yes
77147,CN(C)S(=O)(=O)c1cc(-c2ccc3nccc(-c4cccc(S(N)(=O)=O)c4)c3c2)cnc1N,Yes
77157,CC(C)c1ccc(-c2noc(SCC(=O)N3CCCCC3C)n2)cc1,Yes
77159,CCOc1ccccc1C1C(C(=O)C(C)(C)C)N2c3ccc(Br)cc3C=CC2C12C(=O)c1ccccc1C2=O,Yes
77161,CS(=O)(=O)N1CC2(CCN(CCC(NC(=S)Nc3ccccc3)c3ccc(Cl)c(Cl)c3)CC2)c2ccccc21,Yes
77162,Cc1ccc(NC(=O)Nc2ccc(S(=O)(=O)c3ccc(NC(=O)Nc4ccc(C)c(Cl)c4)cc3)cc2)cc1Cl,Yes
77163,CCCCCCCc1cc(O)c2c3c(c(=O)oc2c1)CN(C)CC3,Yes
77164,CCn1c(C(C)C)cc2c3c(N)nc(N)nc3ccc21,Yes
77165,CN(c1cc(NC(=O)c2ccc(F)cc2)ccn1)C1CCN(Cc2cccc(C#N)c2)CC1.O=C(O)C(F)(F)F,Yes
77167,COc1ccc2nccc([C@@H](O)CN3CCC(NCc4ccc5sc(=O)[nH]c5c4)CC3)c2c1.O=C(O)C(=O)O,Yes
77168,Cc1cc(F)ccc1[C@H]1CNCCN1C(=O)N(C)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cl,Yes
77172,COc1cc2nc(N3CCC(CNC(=O)/C=C/c4cccc(C)c4)CC3)nc(N)c2cc1OC,Yes
77174,O=C(C=C1c2ccccc2-c2ccccc21)NC1CCC(CN2CCC(c3c[nH]c4ccccc34)CC2)CC1,Yes
77176,Cn1nccc1C(=O)NCCNCc1ccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)cc1.O=C(O)C(F)(F)F,Yes
77179,COc1ccccc1NC(=O)OC(COc1ccc(N)cc1)CN1CC=C(c2ccccc2)CC1.O=C(O)C(F)(F)F,Yes
77184,Cc1cc(NC(=O)[C@H](CC2CCCCC2)Nc2ccc(C#N)c3ccccc23)ccc1F.O=C(O)C(F)(F)F,Yes
77185,CC(C)(C)CCN1CCC(NC(=O)c2ccc(-c3cccc(C(F)(F)F)c3)s2)CC1.O=C(O)C(F)(F)F,Yes
77186,CCCCNCc1ccc(-c2nc(CN(Cc3ccc(Cl)c(Cl)c3)C(=O)CN(C)C)cs2)cc1.O=C(O)C(F)(F)F,Yes
77188,COc1cccc(C23NC(=Nc4nc5ccccc5[nH]4)NC2(c2cccc(OC)c2)NC(=Nc2nc4ccccc4[nH]2)N3)c1,Yes
77191,CN1CCN(c2ccc(CNc3ccc4ncc(-c5ccc(OC(F)(F)F)cc5)n4n3)cc2)CC1,Yes
77193,COc1ccccc1C1CCN(C2CCC(NC(=O)/C=C/c3cc(F)c(F)cc3F)CC2)CC1,Yes
77194,Cc1cccc(C)c1N1CCN(C2CCC(NC(=O)c3cc4ccccc4[nH]3)CC2)CC1,Yes
77199,CC(C)C[C@@H](/C=N/NC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,Yes
77200,Cc1ccc(C)c(Cn2ccc3nc(Cl)nc(Cl)c32)c1,Yes
77203,CCN1CCN(c2ccc(Nc3ccnc4ccc(Br)cc34)cc2)CC1,Yes
77204,CCCCCOc1ccc(CC(C)NCC(O)c2cccc(Cl)c2)cc1,Yes
77205,COc1cc2ccccc2c(CNCCCCCCNCc2c(OC)c(OC)cc3ccccc23)c1OC.CS(=O)(=O)O,Yes
77206,O=C(CCOc1ccccc1)NCC1CCCO1,Yes
77207,N#Cc1cccc(Nc2ncc3c(-c4cccc(NC(=O)Cc5cccc(Cl)c5)c4)c[nH]c3n2)c1.O=C(O)C(F)(F)F,Yes
77211,Cc1ccc(C(=O)Nc2ccc(F)cc2)cc1-c1nc(NC2CC(C)(C)NC(C)(C)C2)nc2c1ccc(=O)n2-c1c(F)cccc1F,Yes
77213,Cc1cc(C2CCN(CCCCNC(=O)c3ccc(NC(=O)c4ccc(Cl)cc4)cc3)CC2)c(C)cc1OCc1ccccn1.Cl,Yes
77217,Cl.c1ccc2nc(NCCCCCCCCNc3ccc4ccccc4n3)ccc2c1,Yes
77218,Cc1cccc(OCC(=O)Nc2cccc(NC(=O)COc3cccc(C)c3)n2)c1,Yes
77219,CC(=O)Nc1nc(N)c2c(ccc3c2ccn3CC(C)C)n1,Yes
77220,CO/C(=C\C=C\c1cc2cc(Cl)c(Cl)cc2[nH]1)C(=O)NCCCN1CCN(c2cccc(O)c2)CC1,Yes
77222,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(C(F)(F)F)ccc1Cl,Yes
77225,Cc1cccc2nc(-c3cccc(-c4cccc(NC(=O)c5ccc(C(N)=O)cc5)c4)c3)[nH]c12,Yes
77226,CC(Oc1ccc(Cl)cc1Cl)c1nc(-c2ccc(NC(=O)c3ccco3)cc2)no1,Yes
77230,Cc1ccc(F)c(OCC2CCCN(c3ccc(C(=O)NC4CC4)cn3)C2)c1,Yes
77233,Cc1cc(N(C)CCN(C)C)nc(Nc2ccc(Cl)cc2)n1,Yes
77235,O=C(NC1CC1)c1cnc(N2CCC(Cc3ccccc3)CC2)c(Cl)c1.O=C(O)C(F)(F)F,Yes
77239,CC(C)NCC(=O)Nc1cccc(C(=O)Nc2cccc(C(F)(F)F)c2)c1,Yes
77241,C/C=C1\CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,Yes
77242,COc1cccc(CN2Cc3ccccc3OC3(CCN(Cc4c[nH]c5cnccc45)CC3)C2)c1.O=C(O)C(F)(F)F,Yes
77245,CC(C)(C)CC(C)(C)c1ccc(O)c(C(=O)Nc2cccc([N+](=O)[O-])c2)c1,Yes
77246,CCOc1ccccc1N1CCN(CCCNC(=O)/C(=C/C=C/c2cc3cc(Cl)c(Cl)cc3[nH]2)OC)CC1,Yes
77248,Cc1cccc2nc(-c3cccc(-c4cccc(CNCc5ccc(S(C)(=O)=O)cc5)c4)c3)[nH]c12.O=C(O)C(F)(F)F,Yes
77250,COc1ccc(-c2c(C(F)(F)F)nn(C)c2NC(=O)Nc2ccc(F)cc2F)cc1,Yes
77252,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCOCC4)cc13)N(C(C)C)S(=O)(=O)CC2.O=CO,Yes
77257,O=C(c1ccc(F)c2ccccc12)N1CCc2cc3nccc(N4CCN5CCC[C@H]5C4)c3cc21,Yes
77259,COc1cc(NC(=O)N2CCc3ccc(OCCN(C(C)C)C(C)C)cc32)cc(C(F)(F)F)c1.O=C(O)C(F)(F)F,Yes
77262,Cc1ccc(C(C(=O)Nc2ccc(N3CCNCC3)c(Cl)c2)c2ccccc2)cc1,Yes
77264,CC(C)NCc1ccc(-c2ccc(-c3nc4cc(C(F)(F)F)ccc4[nH]3)cc2)cc1.O=C(O)C(F)(F)F,Yes
77266,NC(=O)c1cccc(C(=O)Nc2ccc(-c3cccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)c3)cc2)c1,Yes
77268,O=C(/C=C/c1ccc(Cl)c(Cl)c1)NCCCCCCN1CCCN(C(=O)Nc2cccc(Cl)c2)CC1,Yes
77269,O=C(NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc(Cl)cc1,Yes
77270,CC(C)(C)c1cc(/C=C/C(=O)NC2CCC(CN3CCC(c4c[nH]c5ccccc45)CC3)CC2)cc(C(C)(C)C)c1O,Yes
77271,CCCC(=O)Nc1ccc(OCCN(Cc2ccccc2OC(F)(F)F)c2ccc(C(F)(F)F)c(C#N)c2)cc1,Yes
77272,CC(C)(C)C(=O)N1CCN(c2ccc([N+](=O)[O-])c(NC3CC3)c2)CC1,Yes
77275,Cl.FC(F)(F)c1ccc2c(NCCNc3ccnc4cc(C(F)(F)F)ccc34)ccnc2c1,Yes
77276,Cc1nc2nc(N)nc(N)c2c(C)c1Cc1ccccc1I.Cl,Yes
77277,CN1N=C2c3ccccc3CCC2C1c1ccc(C#N)cc1,Yes
77278,CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)[C@H](CC)N(O)C=O)C(=O)Nc1ccccn1,Yes
77279,OCCCCCCNc1nc(NCc2ccccc2-c2ccc(C(F)(F)F)cc2)nc(N2CCNCC2)n1,Yes
77283,CCn1c(-c2nonc2N)nc2c(Cl)ncc(O[C@H](CCN)c3ccccc3F)c21.Cl,Yes
77284,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(C(=O)NCCN(C)C)cc(C(F)(F)F)c1)CC2,Yes
77288,CC(C)(C)c1cc(C(=O)N2CCN(c3nccnc3C#N)CC2)n(Cc2ccccc2)n1,Yes
77289,O=C(O)C(F)(F)F.c1ccc(CNCc2cccc(-c3ccc(-c4nc5ccccc5[nH]4)s3)c2)cc1,Yes
77290,O=C(NCCc1cccc(F)c1)c1cc(Br)cc(N2CCN(c3ccncc3)CC2)c1.O=C(O)C(F)(F)F,Yes
77291,CC(=O)c1cccc(Nc2nc3ccc(OCc4cc(Cl)cc(Cl)c4)c(C#N)c3[nH]2)c1,Yes
77292,CCCCCCN1CCCN(Cc2ccc(C(=O)Nc3ccc(C(C)C)cc3)cc2)CC1.O=C(O)C(F)(F)F,Yes
77294,COc1ccccc1C1CC(c2ccccc2)=NN1C(=O)c1ccccc1,Yes
77298,CN1CCCc2ccc(NC(=O)Nc3ccc(-c4ccccc4)cc3)cc2C1,Yes
77299,Br.CC(Cc1ccc(CSC(C)C)cc1)NCC(O)c1cccc(Cl)c1,Yes
77301,CN(C)CCNCc1nc(-c2ccc3c(Nc4ccc(Oc5ccccc5)cc4)ccnc3c2)cs1,Yes
77304,CC(C)[C@H](NC(=O)c1ccc(O)c(-c2ccc(Cl)c(Cl)c2)c1)C(=O)NCCN1CCCCC1,Yes
